longitude,latitude ,station,lines_serviced,system ,open_date,initial_expected_open_date,initial_DEIS_date
-77.10344,39.02928,Grosvenor-Strathmore,Red,WMATA ,8/25/84,NA,NA
-77.09684,38.99936,Medical Center,Red,WMATA ,8/25/84,NA,NA
-77.07882302,38.94826105,Tenleytown-AU,Red,WMATA ,8/25/84,NA,NA
-77.05277,38.81432,Braddock Road,"Blue, Yellow",WMATA ,12/17/83,NA,NA
-77.07071,38.80062,Eisenhower Avenue,Yellow,WMATA ,12/17/83,NA,NA
-77.07526694,38.79398867,Huntington,Yellow,WMATA ,12/17/83,NA,NA
-77.06021,38.80759,King St-Old Town,"Blue, Yellow",WMATA ,12/17/83,NA,NA
-77.02229,38.89414,Archives-Navy Memorial-Penn Quarter,"Green, Yellow",WMATA ,4/30/83,NA,NA
-77.0586,38.93627,Cleveland Park,Red,WMATA ,12/5/81,NA,NA
-77.06334715,38.94469235,Van Ness-UDC,Red,WMATA ,12/5/81,NA,NA
-77.05191893,38.92466507,Woodley Park-Zoo/Adams Morgan,Red,WMATA ,12/5/81,NA,NA
-76.8971,38.88614,Addison Road-Seat Pleasant,"Blue, Silver",WMATA ,11/22/80,NA,NA
-76.9375,38.89053,Benning Road,"Blue, Silver",WMATA ,11/22/80,NA,NA
-76.91329,38.88939,Capitol Heights,"Blue, Silver",WMATA ,11/22/80,NA,NA
-77.11142,38.88223,Ballston-MU,"Orange, Silver",WMATA ,12/1/79,NA,NA
-77.09528,38.88757,Clarendon,"Orange, Silver",WMATA ,12/1/79,NA,NA
-77.08473,38.89158,Court House,"Orange, Silver",WMATA ,12/1/79,NA,NA
-77.10250001,38.88319321,Virginia Square-GMU,"Orange, Silver ",WMATA ,12/1/79,NA,NA
-76.91627,38.91642,Cheverly,"Orange, Silver",WMATA ,11/20/78,NA,NA
-76.93507,38.90838,Deanwood,"Orange, Silver",WMATA ,11/20/78,NA,NA
-76.89118,38.9337,Landover,"Orange, Silver",WMATA ,11/20/78,NA,NA
-76.94648,38.8993,Minnesota Ave,"Orange, Silver",WMATA ,11/20/78,NA,NA
-76.87153941,38.94820005,New Carrollton,"Orange, Purple",WMATA ,11/20/78,NA,NA
-76.99474,38.93367,Brookland-CUA,Red,WMATA ,2/4/78,NA,NA
-77.00216,38.9523,Fort Totten,"Red, Green",WMATA ,2/4/78,NA,NA
-77.02901866,38.99399388,Silver Spring ,Red,WMATA ,2/4/78,NA,NA
-77.0173494,38.97588834,Takoma,Red,WMATA ,2/4/78,NA,NA
-77.06364,38.88481,Arlington Cemetery,Blue,WMATA ,7/1/77,NA,NA
-77.00597,38.88609,Capitol South,"Orange, Blue, Silver",WMATA ,7/1/77,NA,NA
-77.05144,38.85817,Crystal City,"Blue, Yellow",WMATA ,7/1/77,NA,NA
-76.99585,38.88448,Eastern Market,"Orange, Blue, Silver",WMATA ,7/1/77,NA,NA
-77.04183,38.90162,Farragut West,"Orange, Blue, Silver",WMATA ,7/1/77,NA,NA
-77.01562,38.8851,Federal Center SW,"Orange, Blue, Silver",WMATA ,7/1/77,NA,NA
-77.02777,38.89404,Federal Triangle,"Orange, Blue, Silver",WMATA ,7/1/77,NA,NA
-77.05029,38.90105,Foggy Bottom-GWU,"Orange, Blue, Silver",WMATA ,7/1/77,NA,NA
-77.02181,38.88531,L'Enfant Plaza,"Orange, Blue, Yellow, Green, Silver",WMATA ,7/1/77,NA,NA
-77.03227,38.90135,McPherson Square,"Orange, Blue, Silver",WMATA ,7/1/77,NA,NA
-77.05340062,38.86933089,Pentagon,"Blue, Yellow",WMATA ,7/1/77,NA,NA
-77.05941143,38.86284424,Pentagon City ,"Blue, Yellow",WMATA ,7/1/77,NA,NA
-76.98485841,38.88095466,Potomac Ave,"Orange, Blue, Silver",WMATA ,7/1/77,NA,NA
-77.04321432,38.85354125,Ronald Reagan Washington National Airport,"Blue, Yellow",WMATA ,7/1/77,NA,NA
-77.07148447,38.89721305,Rosslyn,"Orange, Blue, Silver",WMATA ,7/1/77,NA,NA
-77.02806989,38.88922464,Smithsonian ,"Orange, Blue, Silver",WMATA ,7/1/77,NA,NA
-76.97698697,38.8884899,Stadium-Armory,"Orange, Blue, Silver ",WMATA ,7/1/77,NA,NA
-77.04454,38.91122,Dupont Circle,Red,WMATA ,1/17/77,NA,NA
-77.02189,38.8999,Gallery Pl-Chinatown,"Red, Green, Yellow",WMATA ,12/15/76,NA,NA
-77.03926,38.90292,Farragut North,Red,WMATA ,3/27/76,NA,NA
-77.01757,38.89779,Judiciary Square,Red,WMATA ,3/27/76,NA,NA
-77.02794,38.89873,Metro Center,"Red, Orange, Blue, Silver",WMATA ,3/27/76,NA,NA
-76.99528654,38.92104738,Rhode Island Ave-Brentwood,Red,WMATA ,3/27/76,NA,NA
-77.00656472,38.89804142,Union Station ,Red,WMATA ,3/27/76,NA,NA
